g_.Clostridium..innocuum.group	g_.Eubacterium..eligens.group	g_.Eubacterium..fissicatena.group	g_.Eubacterium..hallii.group	g_.Eubacterium..ruminantium.group	g_.Eubacterium..siraeum.group	g_.Eubacterium..ventriosum.group	g_.Eubacterium..xylanophilum.group	g_.Ruminococcus..gnavus.group	g_.Ruminococcus..torques.group	g_Achromobacter	g_Acidaminococcus	g_Acinetobacter	g_Actinomyces	g_Adlercreutzia	g_Agathobacter	g_Akkermansia	g_Alistipes	g_Alloprevotella	g_Anaerostipes	g_Bacillus	g_Bacteroides	g_Barnesiella	g_Bifidobacterium	g_Bilophila	g_Blautia	g_Butyricicoccus	g_Butyricimonas	g_CAG.352	g_CAG.56	g_Candidatus.Saccharimonas	g_Catenibacterium	g_Catenisphaera	g_CHKCI001	g_Christensenellaceae.R.7.group	g_Citrobacter	g_Cloacibacillus	g_Clostridium.sensu.stricto.1	g_Colidextribacter	g_Collinsella	g_Coriobacteriaceae.UCG.003	g_Cutibacterium	g_Desulfovibrio	g_Dialister	g_Dorea	g_DTU089	g_Eggerthella	g_Enterobacter	g_Enterococcus	g_Erysipelatoclostridium	g_Erysipelotrichaceae.UCG.003	g_Escherichia.Shigella	g_Faecalibacterium	g_Faecalicoccus	g_Faecalitalea	g_Family.XIII.AD3011.group	g_Flavobacterium	g_Flavonifractor	g_Fusicatenibacter	g_Fusobacterium	g_Haemophilus	g_Holdemanella	g_Incertae.Sedis	g_Intestinimonas	g_Klebsiella	g_Lachnoclostridium	g_Lachnospira	g_Lachnospiraceae.ND3007.group	g_Lachnospiraceae.NK4A136.group	g_Lachnospiraceae.UCG.001	g_Lachnospiraceae.UCG.003	g_Lachnospiraceae.UCG.004	g_Lachnospiraceae.UCG.006	g_Lachnospiraceae.UCG.010	g_Lactobacillus	g_Megamonas	g_Megasphaera	g_Mitsuokella	g_Monoglobus	g_Negativibacillus	g_Neisseria	g_NK4A214.group	g_Odoribacter	g_Oscillibacter	g_Oscillospira	g_Paeniclostridium	g_Parabacteroides	g_Paraprevotella	g_Parasutterella	g_Phascolarctobacterium	g_Porphyromonas	g_Prevotella	g_Prevotellaceae.NK3B31.group	g_Propionibacterium	g_Pseudobutyrivibrio	g_Pseudocitrobacter	g_Pseudomonas	g_Pygmaiobacter	g_Rikenellaceae.RC9.gut.group	g_Roseburia	g_Ruminococcus	g_Sellimonas	g_Staphylococcus	g_Stenotrophomonas	g_Streptococcus	g_Subdoligranulum	g_Sutterella	g_Treponema	g_Tumebacillus	g_Turicibacter	g_Tuzzerella	g_Tyzzerella	g_UBA1819	g_UCG.002	g_UCG.003	g_UCG.005	g_UCG.007	g_unclassified_f_.Eubacterium..coprostanoligenes.group	g_unclassified_f_Anaerococcus	g_unclassified_f_Bacillaceae	g_unclassified_f_Christensenellaceae	g_unclassified_f_Coriobacteriales.Incertae.Sedis	g_unclassified_f_Eggerthellaceae	g_unclassified_f_Enterobacteriaceae	g_unclassified_f_Ezakiella	g_unclassified_f_Fenollaria	g_unclassified_f_Finegoldia	g_unclassified_f_Lachnospiraceae	g_unclassified_f_Muribaculaceae	g_unclassified_f_Oscillospiraceae	g_unclassified_f_Peptoniphilus	g_unclassified_f_Peptostreptococcaceae	g_unclassified_f_Prevotellaceae	g_unclassified_f_Ruminococcaceae	g_unclassified_f_Tannerellaceae	g_unclassified_f_UCG.010	g_unclassified_f_unclassified_o_Bacteroidales	g_unclassified_f_unclassified_o_Clostridia.UCG.014	g_unclassified_f_unclassified_o_Clostridia.vadinBB60.group	g_unclassified_f_unclassified_o_Enterobacterales	g_unclassified_f_unclassified_o_Gastranaerophilales	g_unclassified_f_unclassified_o_Izemoplasmatales	g_unclassified_f_unclassified_o_Peptostreptococcales.Tissierellales	g_unclassified_f_unclassified_o_RF39	g_unclassified_f_unclassified_o_Rhodospirillales	g_unclassified_f_unclassified_o_unclassified_c_Clostridia	g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_Proteobacteria	g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_k_Bacteria	g_unclassified_f_unclassified_o_unclassified_c_unclassified_p_unclassified_k_unclassified_	g_Veillonella	g_.Eubacterium..oxidoreducens.group	g_.Ruminococcus..gauvreauii.group	g_Acidovorax	g_Anaeroglobus	g_Asaccharospora	g_Asteroleplasma	g_Bulleidia	g_Cardiobacterium	g_Coprococcus	g_Coriobacteriaceae.UCG.002	g_Eisenbergiella	g_Erysipelotrichaceae.UCG.006	g_Hafnia.Obesumbacterium	g_Intestinibacter	g_Lachnospiraceae.FE2018.group	g_Lawsonella	g_Methanobrevibacter	g_Romboutsia	g_Sphingobium	g_Terrisporobacter	g_unclassified_f_unclassified_o_DTU014	g_unclassified_f_unclassified_o_unclassified_c_Bacilli	g_unclassified_f_vadinBE97	g_unclassified_f_Veillonellaceae	g_Cryptobacterium	g_Cupriavidus	g_Parascardovia	g_Selenomonas	g_unclassified_f_Rs.E47.termite.group	g_CL500.29.marine.group	g_Phaseolibacter	g_Shinella	g_Thermomonas	g_unclassified_f_unclassified_o_Candidatus.Levybacteria	g_unclassified_f_unclassified_o_WCHB1.41	g_Wenzhouxiangella	g_Ammoniibacillus
Chen_SRR4011316	0.00671997849606881	0.0470398494724817	0.134399569921376	0.537598279685505	0	4.88542436664203	0.174719440897789	0	0	0.0873597204488946	0	0	0.0335998924803441	0	0.0671997849606881	0	0	3.15838989315234	0	0.188159397889927	0	28.8219877696391	0	0	0	1.55903501108796	0.362878838787716	0.0671997849606881	0.107519655937101	0	0	0	0.0873597204488946	0	2.50655197903367	0	0.00671997849606881	0.0201599354882064	0.141119548417445	0.477118473220886	0	0	0	0	0.288959075330959	0	0	0	0.6249580001344	0.0201599354882064	0.188159397889927	0.645117935622606	5.78590148511525	0	0	0.0940796989449634	0	0.0268799139842752	0.571198172165849	0	0	0	0.463678516228748	0	0	0.0403198709764129	0.100799677441032	0.181439419393858	0	0	0.0335998924803441	0	0	0.0940796989449634	7.31133660372287	0	0.00671997849606881	0	0.356158860291647	0.16799946240172	0	0.490558430213023	0.403198709764129	0.0268799139842752	0.11423963443317	0.537598279685505	1.22975606478059	0	0.215039311874202	0.813117398024326	0	0.0201599354882064	0	0	2.97023049526242	0	0.551038236677643	0	0	0	4.99294402257913	0	0	7.23069686177004	0.00671997849606881	3.27934950608158	0	0	0	0	0	0	0.0134399569921376	2.10335326926954	0.745917613063638	0.79295746253612	0	0.430078623748404	0	0	0.0470398494724817	0.00671997849606881	0.0134399569921376	0	0	0	0	4.66366507627176	0	0.181439419393858	0	0.11423963443317	0	1.23647604327666	0.208319333378133	0.0806397419528257	0	2.15711309723809	0	0	0	0	0	0	0.0134399569921376	0.201599354882064	0	2.1772730327263	0.685437806599019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011284	0.0873597204488946	0.268799139842752	0.362878838787716	1.93535380686782	1.63967475304079	1.34399569921376	0.0335998924803441	0	0	2.31839258114374	0	0.0537598279685505	0	0.0134399569921376	0.255359182850615	0	0	2.47295208655332	0.0268799139842752	1.84799408641892	0	16.2825078959747	0.208319333378133	0.0134399569921376	0	6.26301995833613	0.134399569921376	0.262079161346684	3.80350782877495	0	0	0.28223909683489	0	0	7.25085679725825	0	0	0.161279483905651	0.51071836570123	2.21087292520664	0	0	0	0	1.94207378536389	0.430078623748404	0.0470398494724817	0	0	0.0335998924803441	0.893757139977152	0.39647873126806	8.1446139372354	0	0.147839526913514	0.0806397419528257	0	0.0671997849606881	0.638397957126537	0.00671997849606881	0	0.154559505409583	1.14911632282777	0.262079161346684	0	0.0403198709764129	0.0604798064646193	0.0806397419528257	0	0	0.221759290370271	0	0.0604798064646193	0.0604798064646193	0.0806397419528257	0	0.0335998924803441	0	0.241919225858477	0.174719440897789	0	0.67871782810295	0.0940796989449634	0	0.28223909683489	0.490558430213023	1.00799677441032	0.0134399569921376	0.0470398494724817	0.221759290370271	0.0134399569921376	0.0671997849606881	0	0.0201599354882064	0.28223909683489	0	0.0134399569921376	0	0.376318795779853	0	2.03615348430885	0	0	0.0201599354882064	0.954236946441771	7.9295746253612	0.00671997849606881	0	0	0.0201599354882064	0	0	0.39647873126806	4.48894563537397	0.423358645252335	0.698877763591156	0.0201599354882064	0.645117935622606	0	0	0.0873597204488946	0.00671997849606881	0	0.0739197634567569	0	0	0	1.60607486056045	0	0	0.0134399569921376	0.221759290370271	0	1.0550366238828	0.463678516228748	0.342718903299509	0.0134399569921376	4.9996640010752	0	0	0.0268799139842752	0	0	0	0.0335998924803441	0.456958537732679	0	0.315838989315234	0.201599354882064	0.0470398494724817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011285	0	0	0.517438344197299	2.56031180700222	0.11423963443317	0	0.0806397419528257	0	0.127679591425307	6.10846045292655	0	0	0	0.517438344197299	0	0	0	0.322558967811303	0.0604798064646193	7.68093542100665	0	7.48605604462066	0.45023855923661	0.0403198709764129	0	17.1426651434715	0.665277871110812	0.0537598279685505	0.0873597204488946	0	0	0.342718903299509	0.0537598279685505	0	0.705597742087225	0	0	0.0201599354882064	0.00671997849606881	2.86271083932531	0	0	0	0.141119548417445	0.967676903433909	0	0.120959612929239	0.0940796989449634	0	0.11423963443317	0.0873597204488946	0.141119548417445	4.63678516228748	0	0.0873597204488946	0.248639204354546	0	0.194879376385996	1.82111417243465	0.181439419393858	0	2.16383307573416	0.920637053961427	0	0	0.0537598279685505	0	0.0335998924803441	0	0	0.981116860426047	0	0.0873597204488946	0.0268799139842752	0	0	0	0	0.920637053961427	0	0	0.342718903299509	0.275519118338821	0	0.0739197634567569	0.288959075330959	0.544318258181574	0.0335998924803441	0	0.0403198709764129	0	0.0873597204488946	0	0	6.65277871110812	0	0	0	0.16799946240172	0	0.335998924803441	0.0470398494724817	0	0.0134399569921376	0.490558430213023	18.2850614878032	0	0.0134399569921376	0	0.0403198709764129	0	0	0.147839526913514	0.524158322693367	0.0403198709764129	0.0873597204488946	0	0.443518580740542	0	0.0739197634567569	0	0	0.120959612929239	0.0201599354882064	0	0	0	5.91358107654055	0	0.0335998924803441	0	0	0.0201599354882064	0.0940796989449634	0	0.0873597204488946	0.0873597204488946	0.376318795779853	0	0	0	0	0	0	0	0.141119548417445	0	0.221759290370271	0.208319333378133	0.00671997849606881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011287	0.0134399569921376	0.0739197634567569	0.577918150661918	4.36126604394866	0	0.141119548417445	0	0	0.551038236677643	3.54142866742826	0	0.436798602244473	0	0.0739197634567569	0.154559505409583	0	0	0.651837914118675	0.154559505409583	4.20670653853908	0	12.8754787984678	1.25663597876487	0.0201599354882064	0	13.4265170351455	0.503998387205161	0.22847926886634	0.11423963443317	0	0	2.33855251663195	0.0671997849606881	0	2.23103286069485	0.0940796989449634	0	0	0.161279483905651	5.26846314091795	0	0	0	0.0403198709764129	1.08863651636315	0.416638666756266	0.127679591425307	0.0806397419528257	0	0.120959612929239	0.981116860426047	0.530878301189436	3.0172703447349	0	0.262079161346684	0.174719440897789	0	0.181439419393858	1.33055574222162	0	0	0.174719440897789	1.70015455950541	0.39647873126806	0	0.0604798064646193	0	0	0	0	0.356158860291647	0	0.235199247362408	0	0	0	0.349438881795578	0	2.11007324776561	0.16799946240172	0	1.04159666689067	0.0873597204488946	0.0335998924803441	0.0470398494724817	0.611518043142262	0.745917613063638	0.0134399569921376	0.127679591425307	0.819837376520395	0	0.201599354882064	0.00671997849606881	0	3.59518849539681	0	0.0403198709764129	0	1.82783415093072	0	1.79423425845037	0	0	0	0.67871782810295	5.07358376453195	0	0	0	0.147839526913514	0.0537598279685505	0.0537598279685505	0.383038774275922	3.25918957059337	0.0671997849606881	0.268799139842752	0	1.77407432296217	0	0.107519655937101	0.127679591425307	0.0268799139842752	0.0739197634567569	0	0	0	0	2.05631341979706	0.00671997849606881	0	0	0.255359182850615	0.188159397889927	1.06847658087494	0.215039311874202	0.443518580740542	0.0873597204488946	2.04959344130099	0	0	0	0	0	0	0.0537598279685505	0.349438881795578	0	0.248639204354546	0.161279483905651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011283	0.0537598279685505	0	0.537598279685505	1.57919494657617	0.0940796989449634	0.0940796989449634	0.0604798064646193	0	0.154559505409583	3.35326926953834	0	0.107519655937101	0	0	0	0	0	2.43935219407298	0.0604798064646193	2.27135273167126	0	36.5163631476379	0.712317720583294	0.0134399569921376	0	10.7250856797258	0.295679053827028	0.0671997849606881	0.0537598279685505	0	0	0.671997849606881	0.0537598279685505	0	1.53215509710369	0	0.0873597204488946	0	0.181439419393858	1.61951481755258	0	0	0	0.39647873126806	0.665277871110812	0.302399032323097	0.335998924803441	0	0	0.0134399569921376	0.329278946307372	0.436798602244473	4.59646529131107	0	0.208319333378133	0.0335998924803441	0.0134399569921376	0.436798602244473	0.551038236677643	0	0	0.84671729050467	1.14911632282777	0.11423963443317	0	0	0	0	0	0	0.376318795779853	0	0.255359182850615	0.0470398494724817	0.0940796989449634	0	0	0	0.342718903299509	0.127679591425307	0	0.503998387205161	0.188159397889927	0	0.551038236677643	0.248639204354546	0.671997849606881	0.0268799139842752	0.0268799139842752	0.0335998924803441	0	0.0940796989449634	0.0537598279685505	0	0.900477118473221	0	0	0	0.524158322693367	0	0.732477656071501	0.0739197634567569	0	0	0.799677441032189	8.99805120623614	0	0	0	0.0335998924803441	0	0	0.651837914118675	0.759357570055776	0	0.134399569921376	0	1.61279483905651	0	0.100799677441032	0	0.0335998924803441	0.0268799139842752	0.0604798064646193	0	0	0	3.21886969961696	0.0537598279685505	0.147839526913514	0	0.28223909683489	0.0134399569921376	0.295679053827028	0	0.147839526913514	0.0604798064646193	0.974396881929978	0.0268799139842752	0	0	0	0	0	0	0.0604798064646193	0	0.194879376385996	0.181439419393858	0.0940796989449634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011294	0.409918688260198	0.0671997849606881	0.174719440897789	1.42463544116659	0.295679053827028	0.0201599354882064	0	0	0	2.04287346280492	0	0	0	0.0201599354882064	0.208319333378133	0	0	0.671997849606881	0	1.76063436597003	0	33.5797325448559	0.00671997849606881	0.0268799139842752	0	2.84927088233318	0.0134399569921376	0	0	0	0	2.21759290370271	0	0	3.8572676567435	0	0	0.0806397419528257	0.268799139842752	2.76191116188428	0	0	0.00671997849606881	0.248639204354546	1.86143404341106	0.120959612929239	0.0201599354882064	0	0	0.0806397419528257	0.0604798064646193	10.2009273570325	0.954236946441771	0	0	0.362878838787716	0	0.0537598279685505	0	0	0	0	3.86398763523957	0	0	0	0	0	0	0	0.181439419393858	0	0.275519118338821	0.16799946240172	0.0335998924803441	0	0.0134399569921376	0	0.147839526913514	0.100799677441032	0	2.68799139842752	0.201599354882064	0	0.181439419393858	0.423358645252335	1.08863651636315	0.0134399569921376	0	0.235199247362408	0	0	0	0	0.127679591425307	0	0	0	0	0	6.71997849606881	0	0	0	0.369598817283785	0.0873597204488946	0	0	0	0.376318795779853	0	0	0.16799946240172	2.19071298971843	0	0.692157785095088	0	4.02526711914522	0	0.0268799139842752	0.0268799139842752	0.00671997849606881	0.201599354882064	0	0	0	0	0.839997312008602	0	0.00671997849606881	0	0.235199247362408	0.00671997849606881	0.248639204354546	1.54559505409583	0.302399032323097	0	1.42463544116659	0	0	0	0	0	0	0	0.134399569921376	0	2.04959344130099	0.719037699079363	0.0201599354882064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011304	0.0806397419528257	0.00671997849606881	0.11423963443317	0.671997849606881	0	0.0134399569921376	0.00671997849606881	0	0.0470398494724817	2.34527249512802	0	0	0	0	0	0	0	0.0873597204488946	0	1.18271621530811	0	24.3599220482494	0	0	0	3.31966937705799	0.342718903299509	0.127679591425307	0	0	0	0	0	0.0134399569921376	0.201599354882064	4.49566561387004	0	0.100799677441032	0.28223909683489	0.987836838922115	0	0	0	0	0	0.90719709696929	0.779517505543982	0	0.00671997849606881	0.591358107654055	0	0	3.01055036623883	0	0.90719709696929	0.45023855923661	0	0.0671997849606881	1.37759559169411	0	0	0	2.99711040924669	0	0	0	0	0	0	0	0.0470398494724817	0	0	0	0.11423963443317	0	0	0	0.631677978630468	0.712317720583294	0	0.981116860426047	0	0	0.127679591425307	0.329278946307372	0.241919225858477	0	0	0.16799946240172	0	0	0	0	2.08319333378133	5.67166185068208	0	0	0	0	7.67421544251058	0.598078086150124	0	0	0.0940796989449634	5.97406088300517	0	0	0	2.11007324776561	0	0	0.725757677575432	1.24319602177273	0	0.0940796989449634	0	1.62623479604865	0	0	0.107519655937101	0	0	1.62623479604865	0	0	0	2.11007324776561	0	0.00671997849606881	0	2.43263221557691	0	3.54814864592433	0	0	0	0.00671997849606881	0	0	0	0	0	0	0	0.0604798064646193	0	1.52543511860762	1.25663597876487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011324	0.0134399569921376	0.0671997849606881	0.732477656071501	1.33055574222162	0	0	0.0806397419528257	0	0.631677978630468	6.11518043142262	0	0	0	0	0	0	0	0.100799677441032	0	0.725757677575432	0	40.8574692560984	0	0	0	6.39741952825751	0.255359182850615	0	5.69854176466635	0	0	0	0	0	0	0	0	0	0	2.2847926886634	0	0	0	0	1.48511524763121	0	0.141119548417445	0	0	0.0268799139842752	1.89503393589141	0.712317720583294	12.3580404542705	0	0	0.0671997849606881	0	0.221759290370271	1.12895638733956	0.275519118338821	0	0	0.221759290370271	0.0403198709764129	0	0.0403198709764129	0	0	0	0	1.2499160002688	0	0	0.208319333378133	0.342718903299509	2.22431288219878	0	0	0	0.0268799139842752	0	0	0	0	0	0	3.0172703447349	1.49183522612728	0.11423963443317	0.409918688260198	0	0.0134399569921376	0	0	0.0201599354882064	0	0	0	0	0	0.0403198709764129	0	0	0	0.0806397419528257	0	0	0	0	0	0	0	0.0806397419528257	0	0.0671997849606881	0	0	0.839997312008602	0	0	0	0	0	0	0	0	0	3.20542974262482	0	0.0403198709764129	0	0.0134399569921376	0.0134399569921376	0.0268799139842752	0.00671997849606881	0	0.0268799139842752	0	0	0	0	0	0	0	0	0	0	1.55903501108796	0.732477656071501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011286	0	0.154559505409583	0.262079161346684	1.76063436597003	0.833277333512533	0.947516967945703	0.11423963443317	0	0.0739197634567569	1.89503393589141	0	0.0134399569921376	0	0.0873597204488946	0.0806397419528257	0	0	1.39103554868624	0.0470398494724817	1.18943619380418	0	13.2450776157516	2.37887238760836	0	0	6.53181909817889	0.329278946307372	0.880317182985014	5.03998387205161	0	0	0.537598279685505	0	0	3.124790000672	0.0403198709764129	0.0335998924803441	0.127679591425307	0.248639204354546	2.97695047375848	0	0	0	0.0134399569921376	1.85471406491499	0.0739197634567569	0.0268799139842752	0	0	0.0201599354882064	0.416638666756266	0.120959612929239	9.14589073314965	0	0.0671997849606881	0.0739197634567569	0	0.0873597204488946	1.12223640884349	0	0	3.06431019420738	0.766077548551845	0	0	0.0739197634567569	0.0403198709764129	0	0	0	0.28223909683489	0	0.11423963443317	0.0403198709764129	0.443518580740542	0	0.0134399569921376	0	0.598078086150124	0.147839526913514	0	0.268799139842752	0.577918150661918	0.0134399569921376	0.100799677441032	0.954236946441771	0.934077010953565	0.0403198709764129	0	0.288959075330959	0	0.0739197634567569	0	0.0134399569921376	3.08447012969558	0	0	0	0.56447819366978	3.45406894697937	0.873597204488946	0	0	0	1.2499160002688	14.6831530139104	0	0	0	0.00671997849606881	0	0	0.248639204354546	1.1625562798199	0.120959612929239	0.100799677441032	0	0.752637591559707	0	0.0134399569921376	0.0470398494724817	0.0470398494724817	0.0739197634567569	0.0134399569921376	0	0	0	1.80095423694644	0	0.0470398494724817	0	0.786237484040051	0.00671997849606881	1.08191653786708	0	0.423358645252335	0.0201599354882064	0.369598817283785	0.0268799139842752	0	0	0	0	0	0	0.208319333378133	0	0.752637591559707	0.248639204354546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chen_SRR4011310	0.120959612929239	0.107519655937101	0.120959612929239	3.05087023721524	0.423358645252335	0.0201599354882064	0.0335998924803441	0	0.201599354882064	0.349438881795578	0	0	0	0.0134399569921376	0.302399032323097	0	0	1.43135541966266	0	0.786237484040051	0	17.2770647133929	0	0.0268799139842752	0	3.19870976412875	0.00671997849606881	0	0	0	0	0	0	0	7.21053692628184	0	0	0.927357032457496	0.618238021638331	3.45406894697937	0	0	0	0.309119010819165	1.33727572071769	0.194879376385996	0.0201599354882064	0	0	0.188159397889927	0.383038774275922	2.4124722800887	1.08863651636315	0	0	0.0806397419528257	0	0	0.0739197634567569	0	0	0	4.31422619447618	0.0201599354882064	0	0	0.0134399569921376	0	0	0	0.134399569921376	0	0.0671997849606881	0	0.0268799139842752	0	0	0	0.16799946240172	0.00671997849606881	0	1.70015455950541	0.141119548417445	0.0134399569921376	0.0537598279685505	2.14367314024595	6.23614004435186	0	0.00671997849606881	0	0.0134399569921376	0.0335998924803441	0	0	0.719037699079363	0	0	0	0	0	18.0565822189369	0.0335998924803441	0	0.0134399569921376	1.88831395739534	7.63389557153417	0	0	0	0.530878301189436	0	0	0.369598817283785	1.00127679591425	0	0.335998924803441	0	0.873597204488946	0	0.00671997849606881	0.0403198709764129	0	0.188159397889927	0	0	0	0	0.45023855923661	0.0335998924803441	0.134399569921376	0	1.28351589274914	0	0.443518580740542	0	0.0537598279685505	0	0	0.0201599354882064	0	0	0	0	0	0	0.208319333378133	0.0134399569921376	1.91519387137961	0.671997849606881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
